Id,Name,Website,Description,Created at,Updated at,Slug,Searchable by organizations,Is searchable,Region,Lat,Lng,Last verified at,Marked deleted,Is closed
2,3rd Street Youth Center And Clinic,http://www.3rdstyouth.org/,"The 3rd Street Youth Center and Clinic is a community based agency providing youth in Bayview Hunters Point with health services that encourage them to make decisions that support their health, safety, and development.",2013-10-24 01:32:00 UTC,2020-04-18 10:57:53 UTC,3rd-street-youth-center-and-clinic,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-04-18 10:57:53 UTC,FALSE,FALSE
4293,4-H,http://4h.ucanr.edu/,4-H helps youth acquire knowledge and develop life skills that enable them to find and focus their energy into their passions while also giving back to the community.,2017-08-09 23:49:45 UTC,2020-04-07 03:42:18 UTC,4-h-san-mateo-ca,,TRUE,"California, USA",37.563,-122.326,2020-04-07 03:41:43 UTC,FALSE,FALSE
1023,510 Families,http://www.510families.com/,510 Families provides information on family-friendly activities in the East Bay and beyond.,2014-09-05 23:01:39 UTC,2020-05-14 19:52:16 UTC,510-families,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-05-14 19:52:16 UTC,FALSE,FALSE
1501,511 SF Bay,http://511.org,"511 SF Bay provides a real-time overview of Bay Area traffic conditions, incidents, and driving times plus schedules, route, and fare information for public transportation.  It also offers instant carpool referrals, bicycling information, and more.",2015-03-10 17:15:40 UTC,2020-06-24 12:42:23 UTC,511-org,,TRUE,"San Francisco, CA, USA",37.8044,-122.271,2020-06-24 12:42:23 UTC,FALSE,FALSE
5336,70Strong,http://sequoiastrong.org/,70 Strong is a free referral service for people 60 years old and older to stay active and connected.  Older adults can talk with a social worker for support and navigation of resources.,2018-08-10 08:33:14 UTC,2020-06-11 02:20:24 UTC,70strong-san-mateo-ca,,TRUE,"San Mateo, CA, USA",37.563,-122.326,2020-06-11 02:20:24 UTC,FALSE,FALSE
112,826 Valencia,http://www.826valencia.org,826 Valencia provides tools and resources to support students ages 6-18 in the San Francisco Bay area with their creative and expository writing skills.,2014-02-28 23:08:45 UTC,2020-06-12 03:33:54 UTC,826-valencia,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-06-12 03:33:54 UTC,FALSE,FALSE
4586,826LA,http://826la.org/,"826LA provides free programs for students ages 6–18, including tutoring, field trips, workshops and more.",2017-11-13 20:47:53 UTC,2019-10-31 13:24:08 UTC,826la-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,2019-10-03 12:37:28 UTC,FALSE,FALSE
2268,9 Dots,http://www.9dots.org/,"9 Dots is a collaborative of engineers, educators and volunteers committed to introducing computer science and engineering to children. Students learn robotics, coding, photoshop and more. Students participate in fun team-building activities and community projects that can also help them to develop as leaders.",2016-08-15 23:14:02 UTC,2019-10-03 12:53:59 UTC,9-dots,,TRUE,"Los Angeles, CA",34.0522,-118.244,2019-10-03 12:37:55 UTC,FALSE,FALSE
5546,A Better Living Permanent Housing and Supportive Services,http://www.ablphss.org/,"A Better Living provides individuals in need with the opportunity to obtain permanent housing, access supportive services, and educate themselves on useful life skills for day to day living.",2018-12-20 21:20:39 UTC,2019-11-05 13:38:20 UTC,a-better-living-permanent-housing-and-supportive-services-san-fernando-valley-ca,,TRUE,"San Fernando Valley, CA, USA",34.1826,-118.44,2019-11-05 13:37:20 UTC,FALSE,FALSE
3946,A Better Way Inc.,https://www.abetterwayinc.net,A Better Way Inc. helps place children with adoptive or foster families in San Francisco and Alameda County. They also provide behavioral health services for children ages 0-5 years old.,2017-05-19 19:31:56 UTC,2020-02-17 22:21:13 UTC,a-better-way-inc-berkeley-ca,,TRUE,"Berkeley, CA",37.8716,-122.273,2017-10-10 20:14:15 UTC,FALSE,FALSE
3990,"A Caring Mind Inc.",http://www.acaringmindinc.com/,"A Caring Mind Inc. provides psychological services including EMDR, individual, family, couples, and crisis counseling. Other services such as pain management, worker's compensation, psychological assessment, and divorce mediation are offered.",2017-05-24 20:32:59 UTC,2020-06-22 08:57:58 UTC,a-caring-mind-inc-lancaster-ca,,TRUE,"Lancaster, CA, USA",34.6868,-118.154,2020-06-22 08:57:58 UTC,FALSE,FALSE
378,A Home Away From Homelessness,http://www.homeaway.org,"A Home Away From Homelessness provides educational, social, and recreational opportunities for children of homeless and formerly homeless families. They offer small peer groups, meal preparation, guided trips, family style dinners, and outdoor activities.",2014-04-10 17:52:06 UTC,2020-06-04 06:21:49 UTC,a-home-away-from-homelessness,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-05-29 09:07:18 UTC,FALSE,FALSE
1358,A Home Within,http://ahomewithin.org/,A Home Within matches current and former foster kids with licensed volunteer therapists who provide weekly pro-bono therapy.,2014-12-30 17:03:09 UTC,2019-10-03 12:55:07 UTC,a-home-within,,TRUE,"San Francisco, CA",37.7749,-122.419,2019-10-03 12:55:07 UTC,FALSE,FALSE
5329,A Light of Hope,http://www.alightofhopescv.org,"A Light of Hope provides support groups for parents, caregivers, young adults, children, and families.",2018-08-07 21:53:12 UTC,2019-04-24 22:03:55 UTC,a-light-of-hope-newhall-ca,,TRUE,"Santa Clarita, CA, USA",34.3734,-118.54,2019-04-09 07:40:56 UTC,FALSE,FALSE
2600,A New Way of Life Reentry Project,http://www.anewwayoflife.org/,"A New Way of Life provides housing, case management, pro bono legal services and social support to formerly incarcerated women to help them successfully re-enter their communities and families.",2016-10-28 21:27:56 UTC,2020-06-08 12:31:37 UTC,a-new-way-of-life-reentry-project-los-angeles-ca,,TRUE,"Los Angeles, CA",34.0522,-118.244,2020-06-08 12:30:16 UTC,FALSE,FALSE
380,"A Place-2-Live, Inc.",https://www.ap2l.org/,"A Place-2-Live provides residential placement services for individuals and families with financial challenges, such as fixed incomes, poor credit and evictions.",2014-04-10 17:54:48 UTC,2020-04-08 08:21:42 UTC,a-place-2-live-inc,,TRUE,"Vallejo, CA",38.1041,-122.257,2020-04-08 08:21:42 UTC,FALSE,FALSE
439,A Safe Place,https://www.asafeplace.org/,"A Safe Place helps individuals live a life of independence, self-efficiency, change, empowerment, and free of domestic violence. Its services include a 24-hour crisis hotline, emergency transportation, counseling, and re-entry services.",2014-05-03 01:48:33 UTC,2020-06-10 04:59:42 UTC,a-safe-place,,TRUE,"Oakland, CA",37.8044,-122.271,2020-06-10 04:59:42 UTC,FALSE,FALSE
3989,A Second Wind Violence Prevention Project,https://www.avadulted.org/about/community-resources,"Offers anger management services, couples and individual counseling, domestic violence classes.",2017-05-24 19:56:47 UTC,2020-06-04 06:04:29 UTC,a-second-wind-violence-prevention-prject-palmdale-ca,,TRUE,"Palmdale, CA, USA",34.5794,-118.116,2020-04-16 20:55:44 UTC,FALSE,FALSE
6092,A Step in the Right Direction,http://www.astepintherightdirection.org,A Step in the Right Direction provides  alcohol and drug detox.,2019-07-10 20:18:50 UTC,2019-07-14 08:10:28 UTC,a-step-in-the-right-direction-northridge-ca-91324,,TRUE,"Northridge, CA 91324, USA",34.2414,-118.551,2019-07-14 08:10:28 UTC,FALSE,FALSE
3670,A to Z Royal Medical Supply,http://www.atozroyalmedicalsupply.com/,"Provides supplies such as hospital beds, manual wheelchairs, diabetic shoes and socks. The counties covered for these items through Medicare are Marin, Contra Costa, Alameda, San Mateo, and, San Francisco",2017-04-04 16:24:36 UTC,2017-04-04 16:28:20 UTC,a-to-z-royal-medical-supply-san-francisco-ca,,TRUE,"San Francisco, CA",37.7749,-122.419,,FALSE,FALSE
3551,A Trabajar Center,http://thenonprofitnetwork.org/videopage.php?id=67,Provides free clothing to community members on Thursdays at noon. Five pieces of clothing per person and recommended to take their own bags.,2017-02-14 22:33:36 UTC,2020-06-04 04:05:49 UTC,a-trabajar-center-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,,FALSE,FALSE
3610,A Vision of Health,http://avisionofhealth.org/,A Vision of Health provides early detection and lifestyle interventions for diseases such as diabetes.,2017-03-21 00:10:36 UTC,2020-06-10 08:43:32 UTC,a-vision-of-health-los-angeles-ca,,TRUE,"Los Angeles, CA",34.0522,-118.244,2020-06-10 08:43:32 UTC,FALSE,FALSE
4754,"A Woman's Place Community Awareness & Treatment Services Inc. (CATS)",http://www.catsinc.org,"Community Awareness & Treatment Services Inc. (CATS) serves the chronically homeless population providing safe and accessible services. They have a network of seven programs that offer a continuum of care where staff give support, transportation, and housing.",2017-11-29 16:09:53 UTC,2019-11-23 13:38:23 UTC,a-woman-s-place-community-awareness-treatment-services-inc-cats-san-francisco-ca,,TRUE,"San Francisco, CA",37.7749,-122.419,2019-01-05 13:56:55 UTC,FALSE,FALSE
5081,A-TEX Family Fun Center,http://www.atexfun.com/,"A-TEX sells Hot Tubs, Spas, Pools, Pool and Billiard Tables, Shuffleboard, Foosball, and Air Hockey to Austin Texas",2018-05-29 09:48:52 UTC,2018-05-29 09:48:56 UTC,a-tex-family-fun-center-austin-tx,,TRUE,"Austin, TX, USA",30.2672,-97.7431,2018-05-29 09:48:56 UTC,FALSE,FALSE
275,A. Philip Randolph Institute San Francisco (APRISF),http://www.aprisf.org,"The A. Philip Randolph Institute of San Francisco (APRISF) supports racial equality and economic justice in the Bayview-Hunters Point community through employment, advocacy and education.",2014-03-21 06:36:40 UTC,2020-06-14 08:55:34 UTC,a-philip-randolph-institute-san-francisco-aprisf-san-francisco-ca,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-06-14 08:55:34 UTC,FALSE,FALSE
4153,AA San Mateo County Intergroup of Alcoholics Anonymous (Al Anon),https://aa-san-mateo.org/,San Mateo County Intergroup of Alcoholics Anonymous (Al Anon) seeks to connect recovering alcoholics and those seeking help with addiction with a place to find peers and support in their times of need.,2017-07-04 04:55:11 UTC,2019-10-03 11:08:03 UTC,san-matero-county-intergroup-of-alcoholics-anonymous-san-mateo-ca,,TRUE,"San Mateo, CA, USA",37.563,-122.326,2019-10-03 11:08:03 UTC,FALSE,FALSE
6281,AAIMM Doula Project,https://www.blackinfantsandfamilies.org/dph_doulas,The AAIMM Doula Project connects pregnant Black/African American women with birth doula services provided by Black doulas in order to reduce stress and medical interventions that put pregnant and birthing people at risk of poor outcomes.,2019-12-20 23:17:46 UTC,2019-12-31 09:24:13 UTC,aaimm-doula-project-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,2019-12-31 09:20:35 UTC,FALSE,FALSE
5147,ABC Adult School - Cabrillo Lane Campus,https://www.abcadultschool.edu/,"Adult schools provide education for the adult population to reach their educational goals such as obtaining a GED certificate, job training ESL, etc.",2018-06-19 21:01:01 UTC,2020-06-15 05:58:20 UTC,abc-adult-school-cabrillo-lane-campus-cerritos-ca,,TRUE,"Cerritos, CA, USA",33.8583,-118.065,2018-06-19 21:01:04 UTC,FALSE,FALSE
5146,ABC Adult School- Cuesta Campus,https://www.abcadultschool.edu/,"Adult schools provide education for the adult population to reach their educational goals such as obtaining a GED certificate, job training ESL, etc.",2018-06-19 20:57:59 UTC,2020-06-12 05:51:48 UTC,abc-adult-school-cuesta-campus-cerritos-ca,,TRUE,"Cerritos, CA, USA",33.8583,-118.065,2018-06-19 20:58:01 UTC,FALSE,FALSE
5176,ABC Unified School District,https://www.abcusd.us/,The AEBG block consortia seeks to expand and improve adult education to more members of the public.,2018-06-19 22:15:05 UTC,2020-06-17 05:49:14 UTC,abc-unified-school-district-cerritos-ca,,TRUE,"Cerritos, CA, USA",33.8583,-118.065,2018-06-19 22:15:07 UTC,FALSE,FALSE
1749,Abilities United,http://www.abilitiesunited.org/,"Abilities United provides training and education programs for children and adults with disabilities, their families, and the community.    **Many of the services have been temporarily suspended due to the Covid-19 pandemic.",2016-03-08 06:08:53 UTC,2020-06-24 22:39:19 UTC,abilities-united,,TRUE,"Palo Alto, CA",37.4419,-122.143,2020-05-24 10:53:31 UTC,FALSE,FALSE
549,Ability Now Bay Area,https://www.abilitynowbayarea.org/,Ability Now Bay Area is licensed by the State of California and has a contract with the Regional Center of the East Bay (RCEB) to provide services to persons with developmental disabilities.,2014-05-03 01:54:50 UTC,2020-06-10 17:06:58 UTC,cerebral-palsy-center-for-the-bay-area,,TRUE,"Oakland, CA",37.8044,-122.271,2020-04-02 03:16:54 UTC,FALSE,FALSE
3125,AbilityFirst,http://www.abilityfirst.org,AbilityFirst provides socialization and recreation activities for children and adults with mild-to-severe developmental disabilities.,2016-12-14 04:52:36 UTC,2019-11-07 11:37:17 UTC,abilityfirst-claremont-ca,,TRUE,"Claremont, CA",34.0967,-117.72,2019-11-05 11:42:52 UTC,FALSE,FALSE
4039,Able Works,http://www.able.is/,"Able Works is an organization focused on giving people skills to empower them and help them get out of poverty, such as financial literacy and other life skills training.",2017-05-31 20:32:58 UTC,2020-06-24 04:48:10 UTC,able-works-east-palo-alto-ca,,TRUE,"East Palo Alto, CA, USA",37.4688,-122.141,2020-06-24 04:48:10 UTC,FALSE,FALSE
2353,Abode Communities,http://www.abodecommunities.org,Abode Communities is a Los Angeles based nonprofit developer of affordable housing.,2016-08-31 00:02:42 UTC,2019-10-13 09:08:30 UTC,abode-communities,,TRUE,"Los Angeles, CA",34.0522,-118.244,2019-10-13 09:08:30 UTC,FALSE,FALSE
441,Abode Services,http://www.abodeservices.org/,"Abode Services provides shelter, housing, and supportive services to individuals and families.",2014-05-03 01:48:36 UTC,2020-06-15 06:05:23 UTC,abode-services,,TRUE,"Fremont, CA",37.5483,-121.989,2020-06-15 06:05:23 UTC,FALSE,FALSE
3846,Abram Friedman Occupational Center,http://www.abramfriedmanoc.org/,"Abram Friedman OC is committed to providing its diverse student population the academic, technical and life skills needed for personal growth and/or economic potential. Abram aims to provide and promote an exemplary career education, career development and workforce preparation and contributes to students' career success.",2017-05-03 21:21:46 UTC,2017-05-03 21:21:52 UTC,abram-friedman-occupational-center-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,,FALSE,FALSE
442,AC Transit - Alameda-Contra Costa Transit District,http://www.actransit.org/,AC Transit is the public transit system of the East Bay and provides public transportation in Alameda and Contra Costa counties plus portions of San Francisco.,2014-05-03 01:48:41 UTC,2020-06-02 11:46:31 UTC,ac-transit-alameda-contra-costa-transit-district,,TRUE,"Oakland, CA",37.8044,-122.271,2019-11-07 11:38:04 UTC,FALSE,FALSE
4819,Acacia Network,http://www.acacianetwork.org,"Provide services for those who are homeless, struggling with substance use, and mental illness.",2017-12-11 15:18:12 UTC,2017-12-12 21:25:30 UTC,acacia-network-bronx-ny,,TRUE,"Bronx, NY, USA",40.8448,-73.8648,2017-12-12 21:25:30 UTC,FALSE,FALSE
5934,Academy Prep Junior High Schol,https://www.academyprepjuniorhigh.org/about,"Academy Prep Junior High is a STEM (Science, Technology, Engineering and Math) based school within the Antelope Valley Union High School District for 7th and 8th graders.",2019-05-13 20:30:54 UTC,2020-04-22 13:11:12 UTC,academy-prep-junior-high-schol-lancaster-ca,,TRUE,"Lancaster, CA",34.6868,-118.154,2020-04-22 13:11:12 UTC,FALSE,FALSE
1640,Acalanes Adult School,http://www.acalanes.k12.ca.us/adulted,Acalanes Adult School provides adult education including GED preparation and ESL classes.,2016-01-14 23:11:03 UTC,2020-04-22 12:34:16 UTC,acalanes-adult-school,,TRUE,"Walnut Creek, CA",37.9101,-122.065,2020-04-22 12:34:16 UTC,FALSE,FALSE
6500,Acalanes Union High School District,https://www.acalanes.k12.ca.us/,Acalanes Union High School District is a public high school district in Contra Costa County in California.,2020-05-19 19:22:39 UTC,2020-05-22 15:37:33 UTC,acalanes-union-high-school-district-contra-costa-county-ca,,TRUE,"Contra Costa County, CA, USA",37.8534,-121.902,2020-05-22 15:36:10 UTC,FALSE,FALSE
2953,Access,https://accessla.org/home/,Access is a paratransit service for functionally disabled individuals living in Los Angeles County that provides curb-to-curb ride service seven days a week.,2016-11-30 01:18:36 UTC,2019-10-13 09:16:22 UTC,access,,TRUE,"Los Angeles, CA",34.0522,-118.244,2019-10-13 09:16:22 UTC,FALSE,FALSE
1276,Access Adventure,http://access-adventure.org/,"Access Adventure enriches the lives of people with disabilities and other underserved members of our community by providing outdoor recreation, open space access, education and therapy, through a working partnership with horses",2014-12-08 18:36:31 UTC,2020-06-24 07:16:16 UTC,access-adventure,,TRUE,"Suisun, CA",38.2382,-122.04,2020-06-24 07:12:19 UTC,FALSE,FALSE
1274,Access Alameda,http://accessalameda.com/,"Access Alameda helps individuals identify and connect with the accessible transportation services available in Alameda County, including public transit.",2014-12-08 18:36:17 UTC,2020-02-02 21:07:57 UTC,access-alameda,,TRUE,"Oakland, CA",37.8044,-122.271,2019-10-13 06:46:39 UTC,FALSE,FALSE
6020,Access Alliance,https://accessalliance.ca/,"Access Alliance Multicultural Health and Community Services provides accessible, community-governed, inter-professional, primary health care services, including health promotion, illness prevention and treatment, chronic disease management, and individual and community capacity building. Their goal is for all people who face barriers to good health to have access to high quality primary health care within an integrated system of care.",2019-06-17 12:42:07 UTC,2019-07-29 02:47:50 UTC,access-alliance-toronto-on-canada,,TRUE,"Toronto, ON, Canada",43.6532,-79.3832,,FALSE,FALSE
4369,Access California Services,http://www.accesscal.org/,"Access California Services is a community-based organization with a focus on Arab-American and Muslim-American communities. Its services include refugee social services, healthcare, counseling and support, employment, tax preparation, financial assistance, immigration support, youth programs and more.          ",2017-09-07 19:48:25 UTC,2020-04-02 17:35:36 UTC,access-california-services-anaheim-ca,,TRUE,"Anaheim, CA, USA",33.8366,-117.914,2019-11-05 11:45:15 UTC,FALSE,FALSE
381,Access Institute for Psychological Services,http://www.accessinst.org,"Access Institute for Psychological Services offers low and no-fee psychological services to those who want and need psychological support, but aren’t able to access it for any number of reasons including income, cultural barriers, stigma around mental health and lack of mobility.",2014-04-10 17:55:06 UTC,2020-06-21 05:42:51 UTC,access-institute-for-psychological-services,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-04-15 09:42:14 UTC,FALSE,FALSE
3731,Access Services,http://accessla.org,"Access Services offers paratransit as an alternative mode of flexible passenger transportation that does not follow fixed routes or schedules. Vans, minibuses, shared taxis, and jitneys are used as forms of transportation.",2017-04-10 19:37:15 UTC,2019-04-10 00:26:16 UTC,access-services-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,2019-04-10 00:17:49 UTC,FALSE,FALSE
4700,AccessMatters,http://accessmatters.org,"AccessMatters (formerly Family Planning Council) innovates, empowers, and works to equalize access to sexual and reproductive health care for teens and adults in need. AccessMatters develops, implements, and evaluates innovative programs that make a sustained community impact, including: family planning, HIV and STD prevention and testing, breast and cervical cancer screening and prevention, teen pregnancy prevention, and condom distribution.",2017-11-26 01:02:56 UTC,2019-10-02 02:08:04 UTC,accessmatters-philadelphia-pa,,TRUE,"Philadelphia, PA",39.9526,-75.1652,,FALSE,FALSE
111,Accounting Career Awareness Program,http://www.acapsfbayarea.org/,"ACAP is an organization that promotes accounting as a career, particularly for underrepresented ethnic minorities, by offering scholarships and summer programs for youth interested in accounting.",2014-02-28 23:08:38 UTC,2020-06-23 03:43:06 UTC,accounting-career-awareness-program,,TRUE,"Oakland, CA",37.8044,-122.271,2020-06-23 03:43:06 UTC,FALSE,FALSE
4088,AchieveKids,http://achievekids.org/,"AchieveKids schools in San Jose and Palo Alto provide individualized and multi-disciplinary programs that deliver special education, mental health and family support services for students ages 5 to 22 who have complex and often severe developmental, emotional and behavioral challenges.",2017-06-12 23:54:33 UTC,2020-05-30 04:39:34 UTC,achievekids-palo-alto-ca,,TRUE,"Palo Alto, CA, USA",37.4419,-122.143,2020-05-30 04:39:34 UTC,FALSE,FALSE
4561,ACLU SoCal,https://www.aclusocal.org/,"The ACLU SoCal works to eradicate discrimination based on sexual orientation, gender identity and gender expression. The ACLU SoCal is creating a state where LGBTQ people can live openly and with dignity, where their identities, relationships and families are respected, and where there is fair treatment on the job, in schools, in housing, in public places and in government programs. ",2017-11-11 18:18:19 UTC,2019-03-18 21:07:42 UTC,aclu-socal-los-angeles-ca,,FALSE,"Los Angeles, CA",34.0522,-118.244,,FALSE,FALSE
443,Acorn Computer Learning Center,https://computer-technology-schools.cmac.ws/acorn-computer-learning-center/934/,"The Acorn Computer Learning Center offers free computer classes, help with resumes and other programs.",2014-05-03 01:48:44 UTC,2020-06-03 06:50:51 UTC,acorn-computer-learning-center,,TRUE,"Oakland, CA",37.8044,-122.271,2020-01-30 15:07:24 UTC,FALSE,FALSE
2846,ACORN Medical Clinic,http://www.acornclinic.org,"The Alachua County Organization for Rural Needs (ACORN) Inc. Medical Clinic provides low-cost medical, dental and social services care to residents of North Central Florida.",2016-11-17 15:29:39 UTC,2020-04-16 07:26:20 UTC,acorn-inc-medical-clinic,,TRUE,"Brooker, Florida",29.8889,-82.3326,2020-04-16 07:25:13 UTC,FALSE,FALSE
1420,AcroSports,http://www.acrosports.org/,"AcroSports is a Bay Area non-profit offering classes in gymnastics, circus and urban arts for children, teens and adults.",2015-02-07 00:03:29 UTC,2019-04-09 14:11:35 UTC,acrosports,,TRUE,"San Francisco, CA",37.7749,-122.419,2018-09-09 14:57:52 UTC,FALSE,FALSE
2197,ACT for Mental Health,http://www.actmentalhealth.org,"ACT for Mental Health provides affordable mental health services including counseling, therapy, classes and support groups offered by its staff of licensed psychologist, therapists, counselors and interns.",2016-08-01 23:12:30 UTC,2020-03-10 03:32:10 UTC,act-for-mental-health,,TRUE,"San Jose, CA",37.3382,-121.886,2019-10-17 13:18:58 UTC,FALSE,FALSE
1566,Acta Non Verba: Youth Urban Farm Project (ANV),http://anvfarm.org/,"Acta Non Verba creates a safe and creative outdoor space for children and youth. Activities include gardening, camping, and field trips.",2015-08-19 22:14:16 UTC,2020-05-21 09:55:49 UTC,acta-non-verba-youth-urban-farm-project-anv,,TRUE,"Oakland, CA",37.8044,-122.271,2020-05-21 09:55:49 UTC,FALSE,FALSE
1868,ACTCM Community Clinics,http://www.actcm.edu,"The American College of Traditional Chinese Medicine (ACTCM) Community Clinics operates a Community Clinic of Traditional Chinese Medicine (e.g. Acupuncture, herbal therapy, nutritional counseling, Tui Na (Chinese medical massage), Qigong, cupping, moxibustion, electro-stimulation; services may also be accessed through Castro Mission Health Center, Maxine Hall Health Center, Mission Neighborhood Health Center and Haight Ashbury Free Medical Clinic.",2016-04-18 14:31:57 UTC,2020-06-21 01:22:35 UTC,actcm-community-clinics,,TRUE,"San Francisco, California",37.7749,-122.419,2020-06-21 01:15:26 UTC,FALSE,FALSE
3070,Action Family Counseling (AFC),https://www.actiondrugrehab.com,"Action Family Counseling (AFC) is a drug and alcohol rehabilitation program that provides services to individuals, teens, and adults.",2016-12-12 22:56:40 UTC,2019-04-11 12:39:00 UTC,action-family-counseling-afc,,TRUE,"Santa Clarita, CA",34.3917,-118.543,2019-04-09 14:21:51 UTC,FALSE,FALSE
4720,Action Wellness,https://www.actionwellness.org/,Action Wellness is a nonprofit organization serving individuals with chronic disease in the Greater Philadelphia area.,2017-11-29 01:58:20 UTC,2019-07-26 05:22:13 UTC,action-wellness-philadelphia-pa,,TRUE,"Philadelphia, PA ",39.9526,-75.1652,2018-03-05 19:46:25 UTC,FALSE,FALSE
